datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2017-03-14,13899.0,84562.0,6441.0,3997.0,0.0,108899.0,-0.000394705439592,1.08899,0.00043
2017-03-15,14046.0,84720.0,6475.0,3997.0,0.0,109238.0,0.00311297624404,1.09238,0.0
2017-03-16,14069.0,84878.0,6464.0,3997.0,0.0,109408.0,0.0015562350098,1.09408,0.0
2017-03-17,13999.0,85212.0,6487.0,3997.0,0.0,109695.0,0.00262320854051,1.09695,0.0
2017-03-20,14146.0,84840.0,6493.0,3997.0,0.0,109476.0,-0.00199644468754,1.09476,0.00219
2017-03-21,13984.0,83046.0,6421.0,3997.0,0.0,107448.0,-0.0185246081333,1.07448,0.02247
2017-03-22,14142.0,82959.0,6503.0,3997.0,0.0,107601.0,0.00142394460576,1.07601,0.02094
2017-03-23,14092.0,81758.0,6487.0,3997.0,0.0,106334.0,-0.0117749835039,1.06334,0.03361
2017-03-24,14064.0,81443.0,6498.0,3997.0,0.0,106002.0,-0.00312223747813,1.06002,0.03693
2017-03-27,14088.0,81951.0,6510.0,3997.0,0.0,106546.0,0.00513197864191,1.06546,0.03149
2017-03-28,14380.0,82092.0,6529.0,3997.0,0.0,106998.0,0.00424229910086,1.06998,0.02697
2017-03-29,14412.0,83141.0,6547.0,3997.0,0.0,108097.0,0.0102712200228,1.08097,0.01598
2017-03-30,14393.0,83150.0,6571.0,3997.0,0.0,108111.0,0.000129513307492,1.08111,0.01584
2017-03-31,14366.0,82956.0,6586.0,3997.0,0.0,107905.0,-0.00190544902924,1.07905,0.0179
2017-04-03,14370.0,83855.0,6555.0,3997.0,0.0,108777.0,0.00808118252166,1.08777,0.00918
2017-04-04,14477.0,83457.0,6573.0,3997.0,0.0,108504.0,-0.00250972172426,1.08504,0.01191
2017-04-05,14402.0,83141.0,6556.0,3997.0,0.0,108096.0,-0.0037602300376,1.08096,0.01599
2017-04-06,14366.0,82788.0,6573.0,3997.0,0.0,107724.0,-0.00344138543517,1.07724,0.01971
2017-04-07,14334.0,82467.0,6568.0,3997.0,0.0,107366.0,-0.0033233077123,1.07366,0.02329
2017-04-10,14317.0,82473.0,6553.0,3997.0,0.0,107340.0,-0.000242162323268,1.0734,0.02355
2017-04-11,14163.0,82335.0,6548.0,3997.0,0.0,107043.0,-0.00276690888765,1.07043,0.02652
2017-04-12,14180.0,82432.0,6523.0,3997.0,0.0,107132.0,0.00083144157021,1.07132,0.02563
2017-04-13,14105.0,82356.0,6495.0,3997.0,0.0,106953.0,-0.00167083597805,1.06953,0.02742
2017-04-17,14183.0,83717.0,6548.0,3997.0,0.0,108445.0,0.0139500528269,1.08445,0.0125
2017-04-18,14120.0,83682.0,6539.0,3997.0,0.0,108338.0,-0.00098667527318,1.08338,0.01357
2017-04-19,14068.0,83821.0,6504.0,3997.0,0.0,108390.0,0.000479979323968,1.0839,0.01305
2017-04-20,14244.0,84165.0,6550.0,3997.0,0.0,108956.0,0.00522188393763,1.08956,0.00739
2017-04-21,14227.0,84319.0,6640.0,3997.0,0.0,109183.0,0.00208340981681,1.09183,0.00512
